#{"t_start": 1759856959.3451226, "env_id": "None"}
r,l,t
1181.3,30,49.88289
782.6,30,95.353307
1647.2,30,138.972008
12.3,30,187.958376
508.9,30,229.63525
518.0,30,273.745473
750.7,30,318.738287
898.8,30,362.068349
397.4,30,408.536455
166.7,30,453.084472
245.3,30,501.625014
239.8,30,547.903992
3213.5,30,589.42765
1302.7,30,635.29472
988.0,30,675.56523
1416.7,30,717.61501
2873.6,30,789.810747
2266.9,30,832.743995
1909.9,30,871.240098
2338.1,30,912.62014
1310.6,30,953.684423
160.1,30,1000.634354
832.7,30,1045.690111
210.9,30,1090.520197
911.1,30,1134.880815
714.9,30,1177.097308
195.6,30,1222.660476
1696.1,30,1262.723826
34.1,30,1310.751297
2023.7,30,1353.621676
807.0,30,1399.978654
672.2,30,1447.024075
798.6,30,1494.026727
1319.3,30,1538.02878
636.5,30,1578.478888
1064.4,30,1623.089524
227.1,30,1672.395148
2205.4,30,1746.881695
1225.8,30,1792.048234
1081.9,30,1842.223358
818.7,30,1890.648585
409.2,30,1937.665387
552.0,30,1985.143242
1737.9,30,2025.883955
2056.5,30,2066.897948
282.2,30,2114.044616
547.7,30,2157.813098
852.9,30,2201.705418
411.6,30,2247.846306
72.4,30,2298.411689
339.5,30,2343.284634
372.2,30,2388.111024
229.6,30,2434.264413
495.5,30,2480.941962
101.1,30,2529.581245
214.3,30,2573.465361
299.9,30,2617.034935
826.1,30,2658.559268
6395.0,30,2717.501462
1659.0,6,2721.488823
3721.2,30,2757.88683
3600.6,30,2795.78161
4322.1,30,2830.940106
507.6,30,2878.027481
1067.2,30,2921.944105
353.7,30,2968.74765
1238.1,30,3011.969081
1036.1,30,3059.310202
38.8,30,3109.342384
1411.6,30,3150.545826
1844.9,30,3191.283216
344.8,30,3237.214541
2103.0,30,3276.682496
89.2,30,3326.285524
578.1,30,3373.731783
556.5,30,3417.181495
1799.0,30,3458.164531
1100.7,30,3505.190988
658.7,30,3548.68535
2135.2,30,3616.227072
4822.4,30,3650.800957
4144.2,30,3687.326474
5024.1,30,3720.177369
5168.0,30,3753.954335
1719.7,30,3799.215287
1419.4,30,3841.095886
598.0,30,3888.232182
2976.8,30,3925.208102
2598.1,30,3964.658021
460.0,30,4009.936383
2570.2,30,4053.15562
765.6,30,4096.903202
87.3,30,4145.832468
1768.7,30,4187.601931
1625.6,30,4228.596223
448.3,30,4274.645122
509.1,30,4319.925334
156.1,30,4367.30726
1805.4,30,4410.203784
377.9,30,4456.884619
3896.9,30,4521.444994
4163.7,30,4555.516505
3274.2,30,4592.973861
3958.3,30,4627.936564
2773.0,30,4664.831093
410.6,30,4711.802213
1576.8,30,4755.408766
182.2,30,4802.830667
129.4,30,4847.669153
1463.2,30,4893.976296
684.3,30,4939.098893
1021.9,30,4984.442878
1330.8,30,5028.42091
698.1,30,5071.794431
1088.2,30,5116.813776
295.2,30,5161.960865
109.6,30,5210.021307
665.9,30,5254.594014
738.9,30,5299.09725
1398.9,30,5343.91701
1765.2,30,5385.907894
3326.0,26,5444.392503
3702.9,30,5477.938747
3499.1,30,5515.707996
5875.0,30,5547.022692
4280.4,30,5583.514139
285.8,30,5631.511102
1388.5,30,5672.601003
47.0,30,5722.716015
360.9,30,5768.642642
1070.7,30,5812.647671
1327.3,30,5859.552901
1836.3,30,5906.289151
124.1,30,5954.409123
1871.8,30,5996.268253
352.5,30,6041.099781
548.1,30,6086.209839
199.4,30,6132.859495
1396.7,30,6172.403522
214.9,30,6220.891437
93.1,30,6264.604273
857.4,30,6309.118377
3772.5,30,6378.954739
3329.7,30,6417.529499
