#{"t_start": 1759937031.095012, "env_id": "None"}
r,l,t
205.2,50,96.379157
8864.8,32,149.922433
1155.3,50,235.98417
6725.1,34,282.263685
2096.1,50,770.608651
128.5,50,863.964731
3438.7,50,953.137423
1305.5,50,1045.263692
4016.9,50,1116.592543
1348.3,35,1179.481894
8728.3,50,1336.427511
5612.0,6,1340.555341
4133.0,6,1344.564503
5174.0,6,1348.887703
5888.0,6,1352.888155
3756.9,50,1437.226463
5250.8,50,1520.495268
4743.4,50,1604.045123
1125.8,50,1689.711439
1525.1,34,1753.885197
9050.4,50,1828.801918
1390.1,50,1907.036077
3646.1,50,1989.558405
769.3,50,2071.201745
4923.0,22,2107.447071
13857.5,39,2224.091055
8104.0,39,2276.991451
11136.3,50,2346.338052
16427.1,50,2415.458066
7477.7,40,2590.230435
1026.8,50,2680.168193
1860.5,50,2752.681291
238.3,50,2838.238736
2702.4,50,2930.583487
10041.0,50,3006.958153
1515.2,50,3092.997107
19066.7,50,5290.429974
4167.5,50,5368.449935
1827.5,50,5437.235099
5231.4,50,5508.898407
16248.8,50,5581.871015
7193.0,7,5585.72641
13945.8,50,5654.370703
7040.0,7,5658.314471
9605.5,11,5668.861669
3212.1,50,5747.966351
1680.9,50,5831.702278
1713.7,50,5905.408696
7116.3,50,5977.272391
2116.6,50,6054.671334
1466.7,50,6136.693521
479.3,50,6219.197513
597.7,50,6302.813311
5212.7,50,6376.962466
5866.5,37,6431.840021
12383.6,32,6494.24073
10868.8,30,6533.773299
6407.0,7,6537.806268
9276.2,30,6571.905916
6935.0,7,6575.829119
3645.1,50,6650.394797
3356.4,50,6728.278336
5243.9,50,6795.963968
4895.5,50,6863.82139
3428.7,24,6895.072393
353.5,50,6975.439589
5623.0,50,7049.037558
3766.6,50,7123.785544
3944.7,36,7174.580705
2070.9,50,7248.124915
13509.4,35,7354.336181
5114.0,7,7358.259972
